Name,Total Population,Total Households,Median Household Income (past 12 months),Same house 1 year ago,Geographical Mobility in past year,HH with Public assistance or Food Stamps/SNAP,Median Age,Per Capita Income,Total White alone,Total Black or African American alone,Total American Indian and Alaska Native alone,Total Asian alone,Total Native Hawaiian and Other Pacific Island alone,Some other race alone,Income in the past 12 months below Poverty Level,Two or more races,Median Yr Housing Blt,Median Yr HH moved into HH,Median Gross Rent ($),Median Value ($),Same house 1 year ago!!Below 100 percent of the poverty level,Same house 1 year ago!!100 to 149 percent of the poverty level,Same house 1 year ago!!At or above 150 percent of the poverty level,Same house 1 year ago (WHITE ALONE),Same house 1 year ago (BLACK OR AFRICAN AMERICAN ALONE),Same house 1 year ago (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Same house 1 year ago (ASIAN ALONE),Same house 1 year ago (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Same house 1 year ago (SOME OTHER RACE ALONE),Same house 1 year ago (TWO OR MORE RACES),B07004I_002E,MEANS OF TRANSPORTATION TO WORK total,"Total!!Car, truck, or van","Total!!Car, truck, or van!!Drove alone","Total!!Car, truck, or van!!Carpooled",Total!!Public transportation (excluding taxicab),Total!!Bicycle,Total!!Walked,Total!!Worked at home,Total!!Family households,Total!!Family households!!Married-couple family,Total!!Family households!!Other family,"Total!!Family households!!Other family!!Male householder, no wife present","Total!!Family households!!Other family!!Female householder, no husband present",Total!!Nonfamily households,Total!!Nonfamily households!!Householder living alone,Total!!Nonfamily households!!Householder not living alone,state,county,tract,Total!!Same house 1 year ago!!Less than high school graduate,Same house 1 year ago!!High school graduate (includes equivalency),Same house 1 year ago!!Some college or associate's degree,Same house 1 year ago!!Bachelor's degree,Same house 1 year ago!!Graduate or professional degree,Total!!Same house 1 year ago!!No income,Same house 1 year ago!!With income,"Same house 1 year ago!!With income!!$1 to $9,999 or loss","Same house 1 year ago!!With income!!$10,000 to $14,999","Same house 1 year ago!!With income!!$15,000 to $24,999","Same house 1 year ago!!With income!!$25,000 to $34,999","Same house 1 year ago!!With income!!$35,000 to $49,999","Same house 1 year ago!!With income!!$50,000 to $64,999","Same house 1 year ago!!With income!!$65,000 to $74,999","Same house 1 year ago!!With income!!$75,000 or more",Total!!With income,"Total!!With income!!$1 to $9,999 or loss","Total!!With income!!$10,000 to $14,999","Total!!With income!!$15,000 to $24,999","Total!!With income!!$25,000 to $34,999","Total!!With income!!$35,000 to $49,999","Total!!With income!!$50,000 to $64,999","Total!!With income!!$65,000 to $74,999","Total!!With income!!$75,000 or more",Total!!Below 100 percent of the poverty level,Total!!100 to 149 percent of the poverty level,Total!!At or above 150 percent of the poverty level,Same house 1 year ago!!1 to 4 years age,Same house 1 year ago!!5 to 17 years age,Same house 1 year ago!!18 and 19 years age,Same house 1 year ago!!20 to 24 years age,Same house 1 year ago!!25 to 29 years age,Same house 1 year ago!!30 to 34 yearsage,Same house 1 year ago!!35 to 39 years age,Same house 1 year ago!!40 to 44 years age,Same house 1 year ago!!45 to 49 years age,Same house 1 year ago!!50 to 54 years age,Same house 1 year ago!!55 to 59 years age,Same house 1 year ago!!60 to 64 years age,Same house 1 year ago!!65 to 69 years age,Same house 1 year ago!!70 to 74 years age,Same house 1 year ago!!75 years and over age,Total!!1 to 4 years,Total!!5 to 17 years,Total!!18 and 19 years,Total!!20 to 24 years,Total!!25 to 29 years,Total!!30 to 34 years,Total!!35 to 39 years,Total!!40 to 44 years,Total!!45 to 49 years,Total!!50 to 54 years,Total!!55 to 59 years,Total!!60 to 64 years,Total!!65 to 69 years,Total!!70 to 74 years,Total!!75 years and over,Total Male,Total Female,Gini Index of Inequality,year
"Census Tract 111, District of Columbia, District of Columbia",4299.0,1641.0,59765.078584589995,4062.0,4271.0,279.0,47.0,31398.989220429998,268.0,3688.0,0.0,11.0,0.0,172.0,444.0,160.0,1941,1993,818.0,353700.0,361.0,331.0,3094.0,225.0,3507.0,0.0,11.0,0.0,172.0,147.0,248.0,1701.0,1238.0,1048.0,190.0,322.0,0.0,77.0,18.0,850.0,405.0,445.0,94.0,351.0,791.0,745.0,46.0,11,001,011100,506.0,1074.0,872.0,454.0,216.0,391.0,3128.0,679.0,326.0,477.0,212.0,469.0,345.0,167.0,453.0,418.0,736.0,364.0,499.0,224.0,485.0,356.0,175.0,466.0,429.0,356.0,3181.0,109.0,549.0,8.0,274.0,147.0,321.0,246.0,210.0,314.0,322.0,417.0,219.0,74.0,150.0,702.0,109.0,554.0,8.0,296.0,179.0,321.0,253.0,218.0,346.0,352.0,424.0,252.0,89.0,150.0,720.0,1971.0,2328.0,0.425,2010
"Census Tract 111, District of Columbia, District of Columbia",4655.0,1651.0,65071.843552039994,4400.0,4643.0,278.0,45.3,33081.17433117,448.0,3843.0,0.0,0.0,0.0,203.0,578.0,161.0,1943.0,1996.0,811.0,355100.0,455.0,303.0,3383.0,381.0,3670.0,0.0,0.0,0.0,203.0,146.0,289.0,1849.0,1333.0,1166.0,167.0,372.0,5.0,77.0,16.0,886.0,459.0,427.0,70.0,357.0,765.0,690.0,75.0,11,001,011100,552.0,998.0,911.0,585.0,213.0,383.0,3283.0,717.0,328.0,433.0,213.0,522.0,341.0,171.0,558.0,432.0,771.0,366.0,462.0,219.0,537.0,347.0,178.0,585.0,566.0,325.0,3460.0,224.0,636.0,16.0,265.0,146.0,376.0,245.0,250.0,306.0,293.0,537.0,229.0,125.0,154.0,598.0,224.0,650.0,16.0,292.0,179.0,376.0,275.0,257.0,328.0,316.0,544.0,293.0,129.0,158.0,606.0,2122.0,2533.0,0.4296,2011
"Census Tract 111, District of Columbia, District of Columbia",4811.0,1662.0,63512.74515672,4508.0,4801.0,301.0,43.4,31425.98192118,406.0,4083.0,0.0,8.0,0.0,164.0,615.0,150.0,1943.0,1999.0,821.0,343700.0,447.0,462.0,3351.0,338.0,3861.0,0.0,8.0,0.0,153.0,148.0,240.0,1765.0,1206.0,1028.0,178.0,424.0,5.0,77.0,2.0,843.0,399.0,444.0,66.0,378.0,819.0,737.0,82.0,11,001,011100,520.0,1044.0,983.0,601.0,163.0,380.0,3354.0,788.0,342.0,440.0,271.0,447.0,338.0,129.0,599.0,436.0,889.0,389.0,462.0,277.0,450.0,351.0,129.0,627.0,605.0,489.0,3431.0,279.0,642.0,24.0,252.0,208.0,452.0,224.0,190.0,236.0,349.0,513.0,288.0,148.0,139.0,564.0,279.0,661.0,24.0,306.0,234.0,463.0,266.0,201.0,255.0,381.0,549.0,311.0,148.0,154.0,569.0,2253.0,2558.0,0.4429,2012
"Census Tract 111, District of Columbia, District of Columbia",4702.0,1615.0,59500.550117239996,4327.0,4702.0,327.0,45.8,30699.33841699,560.0,3899.0,0.0,6.0,0.0,194.0,807.0,43.0,1943.0,1999.0,873.0,336400.0,605.0,396.0,3059.0,465.0,3641.0,0.0,6.0,0.0,183.0,32.0,327.0,1792.0,1230.0,1047.0,183.0,491.0,24.0,44.0,3.0,764.0,391.0,373.0,63.0,310.0,851.0,731.0,120.0,11,001,011100,548.0,891.0,961.0,579.0,210.0,430.0,3233.0,786.0,340.0,453.0,315.0,364.0,313.0,108.0,554.0,506.0,911.0,406.0,472.0,337.0,368.0,332.0,108.0,578.0,807.0,420.0,3179.0,248.0,554.0,64.0,272.0,169.0,417.0,180.0,202.0,182.0,417.0,449.0,308.0,154.0,140.0,571.0,248.0,577.0,64.0,336.0,221.0,428.0,225.0,206.0,217.0,458.0,501.0,335.0,159.0,149.0,578.0,2322.0,2380.0,0.4747,2013
"Census Tract 111, District of Columbia, District of Columbia",5083.0,1666.0,58833.0,4538.0,5052.0,324.0,42.0,30272.0,570.0,4339.0,0.0,4.0,0.0,90.0,870.0,80.0,1944.0,2001.0,887.0,341700.0,620.0,426.0,3277.0,472.0,3909.0,0.0,4.0,0.0,82.0,71.0,228.0,1934.0,1321.0,1139.0,182.0,511.0,24.0,49.0,29.0,830.0,404.0,426.0,56.0,370.0,836.0,728.0,108.0,11,001,011100,562.0,841.0,948.0,656.0,286.0,408.0,3325.0,790.0,312.0,526.0,309.0,314.0,261.0,109.0,704.0,494.0,944.0,406.0,556.0,324.0,339.0,284.0,109.0,763.0,870.0,458.0,3480.0,354.0,552.0,57.0,282.0,227.0,416.0,246.0,245.0,197.0,356.0,422.0,295.0,192.0,168.0,529.0,363.0,577.0,58.0,349.0,281.0,425.0,340.0,249.0,254.0,410.0,491.0,330.0,195.0,179.0,551.0,2435.0,2648.0,0.4766,2014
"Census Tract 111, District of Columbia, District of Columbia",5490.0,1734.0,68750.0,4862.0,5457.0,314.0,41.7,30431.0,660.0,4737.0,0.0,13.0,0.0,14.0,1086.0,66.0,1945.0,2003.0,1060.0,345100.0,850.0,373.0,3441.0,582.0,4201.0,0.0,13.0,0.0,7.0,59.0,297.0,2171.0,1395.0,1264.0,131.0,591.0,21.0,112.0,38.0,903.0,382.0,521.0,88.0,433.0,831.0,735.0,96.0,11,001,011100,610.0,784.0,880.0,825.0,378.0,422.0,3557.0,942.0,304.0,529.0,346.0,255.0,353.0,129.0,699.0,543.0,1078.0,371.0,582.0,379.0,278.0,390.0,132.0,771.0,1086.0,402.0,3725.0,356.0,668.0,98.0,263.0,299.0,344.0,303.0,315.0,215.0,329.0,581.0,216.0,247.0,188.0,440.0,367.0,711.0,99.0,319.0,355.0,352.0,390.0,328.0,300.0,355.0,700.0,252.0,256.0,200.0,473.0,2550.0,2940.0,0.4567,2015
"Census Tract 111, District of Columbia, District of Columbia",5525.0,1723.0,59716.0,4790.0,5420.0,281.0,42.2,28373.0,562.0,4681.0,11.0,144.0,0.0,17.0,960.0,110.0,1944.0,2003.0,1212.0,385100.0,744.0,581.0,3281.0,477.0,4045.0,11.0,144.0,0.0,10.0,103.0,119.0,1969.0,1249.0,1039.0,210.0,568.0,20.0,55.0,54.0,980.0,457.0,523.0,71.0,452.0,743.0,665.0,78.0,11,001,011100,637.0,757.0,986.0,680.0,479.0,482.0,3451.0,873.0,302.0,603.0,313.0,213.0,391.0,131.0,625.0,572.0,1051.0,375.0,672.0,348.0,241.0,439.0,136.0,681.0,960.0,617.0,3595.0,280.0,665.0,51.0,255.0,387.0,321.0,261.0,273.0,292.0,317.0,372.0,341.0,257.0,226.0,492.0,289.0,708.0,57.0,341.0,477.0,329.0,335.0,290.0,386.0,344.0,448.0,368.0,268.0,237.0,543.0,2667.0,2858.0,0.4792,2016
"Census Tract 111, District of Columbia, District of Columbia",5548.0,1733.0,75781.0,4830.0,5456.0,277.0,42.4,32393.0,640.0,4633.0,8.0,47.0,0.0,8.0,1123.0,212.0,1944.0,2004.0,1274.0,427300.0,917.0,463.0,3287.0,498.0,4065.0,8.0,47.0,0.0,8.0,204.0,433.0,2225.0,1306.0,1063.0,243.0,617.0,22.0,97.0,168.0,986.0,481.0,505.0,93.0,412.0,747.0,646.0,101.0,11,001,011100,513.0,574.0,1130.0,834.0,645.0,497.0,3566.0,951.0,271.0,552.0,338.0,179.0,289.0,251.0,735.0,611.0,1105.0,328.0,606.0,384.0,200.0,321.0,264.0,825.0,1123.0,485.0,3604.0,274.0,555.0,97.0,208.0,442.0,321.0,339.0,264.0,272.0,298.0,450.0,320.0,284.0,251.0,455.0,286.0,593.0,106.0,269.0,516.0,344.0,424.0,278.0,350.0,317.0,537.0,350.0,295.0,269.0,522.0,2760.0,2788.0,0.4723,2017
"Census Tract 111, District of Columbia, District of Columbia",5571.0,1741.0,79628.0,4858.0,5473.0,191.0,41.0,36411.0,659.0,4569.0,10.0,80.0,0.0,8.0,822.0,245.0,1945.0,2005.0,1271.0,461700.0,666.0,367.0,3685.0,501.0,4022.0,10.0,72.0,0.0,8.0,245.0,487.0,2441.0,1469.0,1132.0,337.0,637.0,8.0,59.0,251.0,1047.0,596.0,451.0,52.0,399.0,694.0,624.0,70.0,11,001,011100,466.0,518.0,1160.0,829.0,811.0,522.0,3570.0,733.0,314.0,501.0,365.0,213.0,302.0,351.0,791.0,589.0,889.0,362.0,543.0,415.0,240.0,319.0,368.0,927.0,822.0,375.0,4050.0,288.0,511.0,51.0,224.0,529.0,302.0,425.0,185.0,393.0,268.0,338.0,336.0,291.0,254.0,463.0,300.0,560.0,59.0,271.0,578.0,349.0,548.0,202.0,469.0,289.0,374.0,360.0,299.0,273.0,542.0,2809.0,2762.0,0.4779,2018
"Census Tract 21.02, District of Columbia, District of Columbia",4331.0,1959.0,45911.34485166,3446.0,4214.0,254.0,39.2,28755.86396299,174.0,3209.0,0.0,106.0,0.0,798.0,526.0,44.0,1944,2001,938.0,384700.0,337.0,241.0,2868.0,99.0,2580.0,0.0,106.0,0.0,634.0,27.0,747.0,2016.0,1159.0,1047.0,112.0,761.0,0.0,47.0,11.0,879.0,416.0,463.0,43.0,420.0,1080.0,992.0,88.0,11,001,002102,492.0,634.0,714.0,465.0,249.0,297.0,2712.0,454.0,185.0,439.0,647.0,371.0,299.0,30.0,287.0,390.0,533.0,185.0,508.0,719.0,492.0,309.0,83.0,353.0,526.0,318.0,3353.0,154.0,305.0,50.0,383.0,384.0,117.0,153.0,95.0,185.0,358.0,310.0,167.0,88.0,261.0,436.0,248.0,416.0,83.0,419.0,462.0,251.0,191.0,157.0,260.0,413.0,323.0,196.0,98.0,261.0,436.0,1686.0,2645.0,0.401,2010
